word,first_age,median_age,mean_age,last_age,num_children_produced
uh oh,16,24.0,23,30,7817
ball,16,24.0,23,30,8203
daddy*,16,24.0,23,30,8453
mommy*,16,24.0,23,30,8517
bye,16,24.0,23,30,7987
baa baa,16,24.0,24,30,6471
grrr,16,24.0,24,30,6369
meow,16,24.0,24,30,6979
moo,16,24.0,24,30,7198
ouch,16,24.0,24,30,6395
quack quack,16,24.0,24,30,6425
vroom,16,24.0,24,30,5807
woof woof,16,24.0,24,30,7111
yum yum,16,24.0,24,30,6098
dog,16,24.0,24,30,7596
duck,16,24.0,24,30,6497
car,16,24.0,24,30,6932
book,16,24.0,24,30,7160
banana,16,24.0,24,30,7211
shoe,16,24.0,24,30,7278
eye,16,24.0,24,30,6907
nose,16,24.0,24,30,6780
baby,16,24.0,24,30,7283
grandma*,16,24.0,24,30,6619
hello,16,24.0,24,30,5926
hi,16,24.0,24,30,7243
no,16,24.0,24,30,7708
choo choo,16,25.0,24,30,6045
bear,16,25.0,24,30,5735
bird,16,25.0,24,30,6571
cat,16,25.0,24,30,6589
kitty,16,25.0,24,30,5782
balloon,16,25.0,24,30,6445
bubbles,16,25.0,24,30,6428
apple,16,25.0,24,30,6618
cheese,16,25.0,24,30,6369
cookie,16,25.0,24,30,6395
cracker,16,25.0,24,30,5575
juice,16,25.0,24,30,6153
milk,16,25.0,24,30,6469
water (beverage),16,25.0,24,30,6134
hat,16,25.0,24,30,6195
ear,16,25.0,24,30,6388
owie/boo boo,16,25.0,24,30,5744
bottle,16,25.0,24,30,5611
grandpa*,16,25.0,24,30,6087
pet's name,16,25.0,24,30,4769
bath,16,25.0,24,30,6317
night night,16,25.0,24,30,6270
peekaboo,16,25.0,24,30,5745
shh/shush/hush,16,25.0,24,30,6102
thank you,16,25.0,24,30,6563
yes,16,25.0,24,30,6623
all gone,16,25.0,24,30,5910
hot,16,25.0,24,30,6200
up,16,25.0,24,30,5701
bee,16,25.0,25,30,5086
bug,16,25.0,25,30,4675
bunny,16,25.0,25,30,5266
cow,16,25.0,25,30,5692
fish (animal),16,25.0,25,30,6091
frog,16,25.0,25,30,4766
horse,16,25.0,25,30,5356
monkey,16,25.0,25,30,5237
owl,16,25.0,25,30,4176
pig,16,25.0,25,30,5276
puppy,16,25.0,25,30,5176
turtle,16,25.0,25,30,4537
airplane,16,25.0,25,30,5541
boat,16,25.0,25,30,5309
bus,16,25.0,25,30,5422
train,16,25.0,25,30,5375
truck,16,25.0,25,30,6019
block,16,25.0,25,30,4824
doll,16,25.0,25,30,4425
toy (object),16,25.0,25,30,5071
bread,16,25.0,25,30,4829
cheerios,16,25.0,25,30,4089
drink (beverage),16,25.0,25,30,4784
egg,16,25.0,25,30,4813
fish (food),16,25.0,25,30,4314
pizza,16,25.0,25,30,5172
yogurt,16,25.0,25,30,4461
bib,16,25.0,25,30,3804
boots,16,25.0,25,30,4771
button,16,25.0,25,30,4315
coat,16,25.0,25,30,4231
diaper,16,25.0,25,30,5828
shirt,16,25.0,25,30,4905
sock,16,25.0,25,30,5562
belly button,16,25.0,25,30,5322
buttocks/bottom*,16,25.0,25,30,4655
finger,16,25.0,25,30,4875
foot,16,25.0,25,30,5361
hair,16,25.0,25,30,5809
hand,16,25.0,25,30,5259
head,16,25.0,25,30,5160
mouth,16,25.0,25,30,5633
toe,16,25.0,25,30,5131
tooth,16,25.0,25,30,4784
tummy,16,25.0,25,30,5074
blanket,16,25.0,25,30,5373
brush,16,25.0,25,30,4703
cup,16,25.0,25,30,5827
fork,16,25.0,25,30,4822
keys,16,25.0,25,30,5120
light,16,25.0,25,30,5159
spoon,16,25.0,25,30,5553
telephone,16,25.0,25,30,5150
toothbrush,16,25.0,25,30,4908
bathtub,16,25.0,25,30,4614
bed,16,25.0,25,30,5511
chair,16,25.0,25,30,5305
door,16,25.0,25,30,5492
potty,16,25.0,25,30,5075
flower,16,25.0,25,30,5426
moon,16,25.0,25,30,5253
rock,16,25.0,25,30,4546
star,16,25.0,25,30,4624
swing (object),16,25.0,25,30,4536
tree,16,25.0,25,30,5525
water (not beverage),16,25.0,25,30,5579
home,16,25.0,25,30,4982
outside,16,25.0,25,30,5456
babysitter's name,16,25.0,25,30,3154
child's own name,16,25.0,25,30,5732
please,16,25.0,25,30,6333
drink (action),16,25.0,25,30,4772
eat,16,25.0,25,30,5658
go,16,25.0,25,30,5934
hug,16,25.0,25,30,4897
kiss,16,25.0,25,30,5171
open,16,25.0,25,30,4878
sit,16,25.0,25,30,4779
cold,16,25.0,25,30,5129
yucky,16,25.0,25,30,4585
me,16,25.0,25,30,4789
mine,16,25.0,25,30,5608
down,16,25.0,25,30,5409
off,16,25.0,25,30,4673
on,16,25.0,25,30,4634
out,16,25.0,25,30,4372
more,16,25.0,25,30,5630
feet,16,25.0,25,30,3997
teeth,16,25.0,25,30,4714
shoeses,16,25.0,25,30,528
sockses,16,25.0,25,30,438
cockadoodledoo,16,26.0,25,30,3429
chicken (animal),16,26.0,25,30,4515
elephant,16,26.0,25,30,4624
lion,16,26.0,25,30,4435
sheep,16,26.0,25,30,4158
teddybear,16,26.0,25,30,4068
bicycle,16,26.0,25,30,4789
beans,16,26.0,25,30,3426
cake,16,26.0,25,30,4846
cereal,16,26.0,25,30,4581
chicken (food),16,26.0,25,30,4513
food,16,26.0,25,30,4189
grapes,16,26.0,25,30,4636
ice,16,26.0,25,30,4141
ice cream,16,26.0,25,30,4770
noodles,16,26.0,25,30,3789
peas,16,26.0,25,30,3554
toast,16,26.0,25,30,3880
pants,16,26.0,25,30,4857
sweater,16,26.0,25,30,3359
arm,16,26.0,25,30,4833
cheek,16,26.0,25,30,4097
knee,16,26.0,25,30,4469
penis*,16,26.0,25,30,2940
tongue,16,26.0,25,30,4128
